,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
AAV.TO,-0.5035261,0.12722874,,,2.0,1.436994,,6.0,7.031,,8.0,3.43,1.552,1538352000,19.111,,,163552000,0.83239996,5.354,4.457,875699008,CAD,,183561546,0.17,20.176472,-134490880,29.0,,,0.63463,,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,29260000,1577750400,15,171095008,0.25577,6.0,-29.34,2,0.48783958,,0.14892,0.14892,0.762,buy,2.2,0.019340001,0.022669999,-0.316,1.056,,Energy,3.0,185942000,0.0825,15355660,1536019200,14582833,,18.41,6.5,3.25,5.3,5.5,,,3846000,0.021,250188992,196482000,0.153,,
ABT.TO,-0.12755722,0.12722874,,,2.0,1.472942,,3.0,-1.406,,6.0,7.37,0.607,1538352000,,,,5996211,0.064050004,43.221,2.768,259162320,USD,,24322816,0.16,46.0625,19870880,495.0,,,0.84432,79046749,,,Software - Application,,,1530316800,1199232000,2/1,,1,86400,,,1530316800,3110853,1593475200,7,12549655,0.030739998,4.0,,2,,,0.03323,0.03323,0.58,hold,2.7,0.01842,,0.038,2.339,,Technology,6.0,40269800,0.060900003,2457650,1536019200,2319818,,77.57,8.16,5.83,6.66,6.22,,,34329304,0.854,0,93621832,0.078,,
ABX.TO,-0.2987075,0.12722874,,,2.0,0.356201,,5.0,8.016,,1.0,15.01,2.118,1538352000,57.554,,,3531000064,0.45721,6.621,3.027,23377635328,USD,,1137034394,0.63,23.825397,1308999936,18421.0,,,0.35529998,3095000000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-261000000,1577750400,16,1770000000,0.30273,2.0,-4.79,2,1.8725051,,-0.033800002,-0.033800002,1.055,hold,2.9,0.05738,-0.03458,-0.207,6.621,,Basic Materials,3.0,1167160064,0.0058,6797192,1536019200,5610238,,2.34,18.0,11.0,14.18,14.0,,,2084999936,1.786,6392000000,7722999808,-0.23,,
AC.TO,-0.11318052,0.12722874,,,2.0,0.506901,,2.0,14.341,,3.0,24.13,1.111,1538352000,179.37,,,2268000000,0.13260001,4.083,0.541,9260778496,CAD,,270990957,3.56,6.7780895,-594625024,29400.0,,,0.26508,4451000000,,,Airlines,,,1514678400,,,,1,86400,,,1530316800,1492999936,1577750400,14,2846000128,0.07343,1.0,0.53,2,1.6825883,,0.087290004,0.087290004,0.954,buy,1.7,0.04267,0.58502996,0.108,62.537,,Industrials,1.0,272745984,0.0075,2042041,1536019200,2518065,,1.73,42.0,22.5,33.68,33.5,,,4670000128,17.141,7008000000,17104000000,5.425,,
ACB.TO,3.4133334,0.12722874,,,2.0,-0.437752,,10.0,2.743,,9.0,13.13,2.923,1538352000,13.0,,,-67848000,-1.2292199,-182.309,224.098,12369315840,CAD,,920889960,0.16,82.0625,-286644384,,,,0.78844,43519000,,,Drug Manufacturers - Specialty & Generic,,,1530316800,,,,1,86400,,,1530316800,71936000,1593475200,5,-81667000,-1.4513401,10.0,,2,4.78673,,1.30328,1.30328,2.175,buy,1.8,-0.04484,0.07769,2.226,0.12,,Healthcare,10.0,960961984,0.0208,19662170,1536019200,18467264,,0.65,15.0,6.5,10.9,11.0,,,148380992,0.154,203211008,55196000,0.15,,
ACQ.TO,-0.5030277,0.12722874,,,2.0,1.705325,,9.0,17.339,,8.0,11.31,1.102,1538352000,243.483,,,88831000,0.02895,17.146,0.496,1523060096,CAD,,23955355,1.45,7.8,-164770368,4000.0,,,0.16558,518629000,,,Auto & Truck Dealerships,,,1514678400,,,,1,86400,,,1530316800,-7328000,1577750400,9,40943000,0.02237,9.0,0.34,2,0.65228677,,-0.00239,-0.00239,0.222,hold,2.9,0.024249999,-0.0066500003,-0.016,112.039,,Consumer Cyclical,6.0,27392300,0.054,1526195,1536019200,1471386,,10.28,18.0,9.0,13.97,15.0,,,43483000,1.587,1206363008,3068704000,-0.268,,
AD.TO,-0.050936997,0.12722874,,,2.0,0.795251,,8.0,16.838,,9.0,19.55,1.746,1538352000,13.359,0.921,0.904,83193000,0.62896997,9.407,5.917,782575104,CAD,,34906835,1.73,11.300577,105678328,14.0,,,1.0,,,,Credit Services,,,1514678400,,,,1,86400,,,1530316800,9641000,1577750400,8,81316000,0.62698,8.0,1.48,2,1.1610643,,0.07289,0.07289,0.771,buy,2.4,0.06731,0.015310001,0.321,3.628,,Financial Services,6.0,36496200,0.031,1110596,1536019200,1160737,,5.43,23.0,17.5,20.67,20.75,,,27621000,0.757,82096000,132268000,0.26,,
ADN.TO,-0.02741164,0.12722874,,,2.0,0.397928,,7.0,16.505,,5.0,18.25,2.896,1538352000,33.48,-0.529,-0.529,23092000,0.27317,16.396,4.479,378615552,CAD,,16680855,0.86,21.22093,13893000,92.0,,,0.35741,28091000,,,Lumber & Wood Production,,,1514678400,,,,1,86400,,,1530316800,25924000,1577750400,5,19410000,0.2694,6.0,2.85,2,1.1057256,,0.30667,0.30667,2.818,hold,2.8,0.031040002,0.09563,0.124,5.052,,Basic Materials,3.0,16731200,0.0052,59400,1536019200,59300,,13.6,22.0,19.5,20.3,20.0,,,22866000,1.367,92456000,84533000,1.549,,
AEM.TO,-0.24331832,0.12722874,,,2.0,1.215318,,5.0,21.144,,5.0,45.29,4.018,1538352000,34.933,-0.913,-0.909,866889984,0.38022,13.301,5.057,11530271744,USD,,232689929,0.8,56.6125,-477038624,5514.0,,,0.49719003,1187262000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,162963008,1577750400,16,688788992,0.15187,4.0,11.61,2,2.141979,,0.07147,0.07147,2.268,buy,2.1,0.0271,0.03332,0.012,9.821,,Basic Materials,1.0,233260992,0.0064999997,1510046,1536019200,1147988,,1.88,60.0,45.0,52.09,50.91,,,794427008,3.406,1722967040,2279979008,0.69,,
AEZS.TO,-0.17712176,0.12722874,,,,3.866563,,,0.578,,,2.2,4.044,1538352000,,,,7779000,0.30813998,2.17,0.669,16881302,USD,,16436321,-0.37,-5.945946,4614000,,,,0.9922,923000,,,Biotechnology,,,1514678400,1447977600,1/100,,1,86400,,,1530316800,1707000,1577750400,1,1879000,0.3039,,,2,3.8062284,,0.06762,0.06762,3.637,buy,2.0,0.17082001,0.24384001,-0.309,1.55,,Healthcare,,16440800,0.0,0,1536019200,1100,0.0,0.0,4.0,4.0,4.0,4.0,,,19946000,1.213,0,25245000,0.092,,
