,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ACU,-0.14285713,0.06675303,,,,1.03897,,,15.478,,,21.36,4.624,1538092800,91.713,-0.107,-0.144,10729913,0.079239994,11.004,0.872,118071944,USD,,2959861,1.79,11.932961,-3744072,421.0,,,0.36693,47899273,0.12276,0.60383,Household & Personal Products,,,1514678400,,,,1,86400,,,1530316800,3746479,1577750400,2,4222876,0.05657,,1.4,2,1.3800234,,0.02767,0.02767,2.067,strong_buy,1.0,0.04201,0.07377,0.023,40.154,,Consumer Defensive,,3374060,0.0083,27842,1535673600,30039,0.0117999995,10.81,29.0,25.25,27.13,27.13,,,1894000,0.561,47896000,135415344,1.02,,
ACY,0.0567075,0.06675303,,,,-0.866138,,,33.601,,,14.37,0.249,1538092800,310.154,,,24170800,0.70567,6.769,4.777,163622464,USD,,1260380,1.84,7.8097825,160450,,,,0.92926,31540600,0.4133,0.216,Rental & Leasing Services,,,1514678400,,,,1,86400,,,1530316800,6638200,1577750400,1,17055700,0.34835997,,,2,0.42766583,,0.19379999,0.19379999,0.213,buy,2.0,0.030639999,0.1499,-0.056,24.182,,Industrials,,1416700,0.0011999999,1730,1535673600,1358,0.0016,0.65,17.5,17.5,17.5,17.5,,,4378000,3.09,147642496,34252400,4.687,,
AINC,0.018694282,0.06675303,,,2.0,1.186021,,8.0,19.693,,9.0,70.69,1.454,1538092800,27.17,,,6515000,0.043319996,19.572,0.848,127508640,USD,,1739697,6.69,10.566518,35078752,102.0,,,0.19454001,10617000,0.52656,0.17452998,Asset Management,,,1514678400,,,,1,86400,,,1530316800,-6035000,1577750400,1,19616000,0.00681,9.0,,2,3.5896003,,-0.04004,-0.04004,1.142,buy,2.0,0.00588,-0.17363001,1.853,72.662,,Financial Services,9.0,2380700,0.0155,32687,1535673600,38013,0.0356,1.52,91.0,91.0,91.0,91.0,,,40868000,19.374,12991000,150372992,-6.342,,
AIRI,-0.0289855,0.06675303,,,,-0.30071,,,0.691,,,1.37,1.228,1538092800,162.6,,,-3325000,-0.07039,-19.459,1.37,64701976,USD,,20146548,-0.12,-11.416667,-2990750,275.0,,,0.083579995,4867000,0.47507,0.20792,Aerospace & Defense,,,1514678400,1287014400,1/400,,1,86400,,,1530316800,-13266000,1577750400,2,-3664000,-0.13003,,,2,1.982634,,-0.43840998,-0.43840998,0.253,buy,2.0,-0.05513,-0.66103,-0.074,2.105,,Industrials,,27388900,0.0007,18971,1535673600,23957,0.00090000004,0.73,2.5,2.0,2.25,2.25,,,405000,0.015,29694000,47234000,-0.89,,
AKG,-0.13131315,0.06675303,,,2.0,0.038929,,3.0,1.372,,5.0,0.8161,2.258,1536883200,,,,116311000,0.47489,1.616,0.767,187961264,USD,,170362807,0.03,27.203335,-310010624,,,,0.53853,126765000,0.22311,0.51183,Gold,,,1514678400,,,,1,86400,,,1530316800,-142394000,1577750400,5,107566000,0.21316999,5.0,,4,0.5948251,,-0.58138,-0.58138,0.08,hold,2.6,0.05263,-0.38042,0.11,1.173,,Basic Materials,6.0,225804992,0.0026,589245,1534291200,307213,,1.68,2.32,0.97,1.56,1.35,,,18756000,0.083,0,244924000,-0.682,,
ALO,-0.7996359,0.06675303,,,2.0,-1.205389,,2.0,3.274,,4.0,0.805,3.148,1536883200,8.741,-0.494,-0.065,13851000,0.14525,4.003,0.581,55443880,USD,,80254243,0.4,2.0125,-83986496,356.0,,,0.21216999,30703000,0.041100003,0.25957,Gold,,,1514678400,1494892800,1/10,,1,86400,,,1530316800,8858000,1577750400,5,-9561000,0.094060004,3.0,,3,0.24587661,,0.092889994,0.092889994,1.226,buy,2.4,0.01931,0.04145,-0.031,1.993,,Basic Materials,6.0,83784096,0.0191,1596630,1534291200,1500254,,3.9,7.09,4.33,5.47,5.51,,,29732000,0.355,23980000,95358000,0.184,,
APHB,-0.5666667,0.06675303,,,,3.130145,,,0.506,,,0.3495,2.987,1538092800,,,,-8836000,0.0,-0.313,47.681,2765520,USD,,13625878,-0.79,-0.44240505,-6076250,31.0,,,0.0,-2766000,0.04802,0.10832,Biotechnology,,,1514678400,1493078400,1/10,,1,86400,,,1530316800,-9315000,1577750400,1,-8671000,-158.93103,,,4,0.6907115,,0.0,0.0,2.83,buy,2.0,-0.42953,-1.02363,,0.005,,Healthcare,,16468300,0.087,1432235,1535673600,1061697,0.106400006,9.2,6.0,6.0,6.0,6.0,,,5798000,0.352,0,58000,-0.773,,
ASM,-0.55263513,0.06675303,,,,0.072679,,,1.311,,,0.6798,1.576,1536883200,17.044,-0.236,-0.272,7338763,0.21179001,6.016,1.274,44148092,USD,,53147630,0.15,4.5319996,-8139106,,,,0.28,11383511,0.04458,0.11833,Silver,,,1514678400,,,,1,86400,,,1530316800,2437461,1577750400,3,4866062,0.10858,,,4,0.51853544,,0.07034,0.07034,0.944,buy,2.0,0.02259,0.03522,0.16,0.651,,Basic Materials,,55805700,0.0201,1150142,1534291200,1127559,,8.76,3.23,2.79,3.0,2.98,,,4766000,0.085,12473000,34651640,0.04,,
AST,-0.6169492,0.06675303,,,,2.347774,,,0.506,,,1.19,6.536,1538092800,11.567,,,-22132000,0.0,-2.312,22.218,51167620,USD,,27771351,-0.44,-2.7045455,-7728625,31.0,,,0.90664,3877000,0.40233,0.17797,Biotechnology,,,1514678400,1412208000,1348/1000,,1,86400,,,1530316800,-22651000,1577750400,5,-17438000,-11.24012,,,2,2.3517787,,0.0,0.0,6.09,buy,2.2,-0.39029998,-0.69924,-0.655,0.043,,Healthcare,,55509400,0.0661,3668650,1535673600,3591039,0.11270001,26.94,13.0,5.5,9.5,11.0,,,14805000,0.267,3247000,2303000,-0.423,,
ATNM,0.036554694,0.06675303,,,,3.096813,,,0.157,,,0.7566,4.194,1538092800,,,,-23122936,0.0,-2.686,,62102384,USD,,108956732,-0.25,-3.0264,-10582653,25.0,,,0.0,,0.01364,0.10031,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-22672072,1577750400,6,-18708684,0.0,,,4,4.8191085,,0.0,0.0,4.078,buy,1.8,-0.81439,-1.73143,,,,Healthcare,,110463000,0.0385,4253268,1535673600,3811277,0.0387,4.03,6.0,3.0,4.29,4.38,,,21474264,0.194,0,,-0.258,,
